District,Season,Pesticide,Percentage_use
Gisagara,C,Beam,1.12
Gisagara,C,Others,6.74
Huye,A,Dithane,6.62
Huye,A,Ridomil,3.50
Huye,A,Dimethoate,0.00
Huye,A,Cypermethrin,3.08
Huye,A,Dursiban,0.00
Huye,A,Rocket,84.47
Huye,A,Beam,0.02
Huye,A,Others,2.31
Huye,B,Dithane,13.95
Huye,B,Ridomil,2.33
Huye,B,Dimethoate,0.00
Huye,B,Cypermethrine,39.53
Huye,B,Pilkare,0.00
Huye,B,Rocket,41.86
Huye,B,Beam,0.00
Huye,B,Other ,2.33
Huye,C,Dithane,17.37
Huye,C,Ridomil,0.00
Huye,C,Dimethoate,2.40
Huye,C,Cypermethrin,10.78
Huye,C,Rocket,61.08
Huye,C,Beam,0.00
Huye,C,Others,8.39
Kamonyi,A,Dithane,17.75
Kamonyi,A,Ridomil,0.31
Kamonyi,A,Dimethoate,10.35
Kamonyi,A,Cypermethrin,0.00
Kamonyi,A,Dursiban,0.00
Kamonyi,A,Rocket,70.21
Kamonyi,A,Beam,0.00
Kamonyi,A,Others,1.37
Kamonyi,B,Dithane,30.43
Kamonyi,B,Ridomil,2.17
Kamonyi,B,Dimethoate,6.52
Kamonyi,B,Cypermethrine,4.35
Kamonyi,B,Pilkare,0.00
Kamonyi,B,Rocket,45.65
Kamonyi,B,Beam,0.00
Kamonyi,B,Other ,10.87
Kamonyi,C,Dithane,28.89
Kamonyi,C,Ridomil,3.81
Kamonyi,C,Dimethoate,13.65
Kamonyi,C,Cypermethrin,2.22
Kamonyi,C,Rocket,31.43
Kamonyi,C,Beam,0.00
Kamonyi,C,Others,19.99
Karongi,A,Dithane,16.29
Karongi,A,Ridomil,0.00
Karongi,A,Dimethoate,12.21
Karongi,A,Cypermethrin,16.47
Karongi,A,Dursiban,0.85
Karongi,A,Rocket,54.18
Karongi,A,Beam,0.00
Karongi,A,Others,0.00
Karongi,B,Dithane,43.75
Karongi,B,Ridomil,0.00
Karongi,B,Dimethoate,0.00
Karongi,B,Cypermethrine,22.92
Karongi,B,Pilkare,0.00
Karongi,B,Rocket,18.75
Karongi,B,Beam,0.00
Karongi,B,Other ,14.58
Karongi,C,Dithane,30.69
Karongi,C,Ridomil,0.99
Karongi,C,Dimethoate,15.84
Karongi,C,Cypermethrin,14.85
Karongi,C,Rocket,25.74
Karongi,C,Beam,0.00
Karongi,C,Others,11.88
Kayonza,A,Dithane,37.42
Kayonza,A,Ridomil,0.04
Kayonza,A,Dimethoate,7.02
Kayonza,A,Cypermethrin,6.65
Kayonza,A,Dursiban,0.00
Kayonza,A,Rocket,40.26
Kayonza,A,Beam,0.01
Kayonza,A,Others,8.60
Kayonza,B,Dithane,22.43
Kayonza,B,Ridomil,0.00
Kayonza,B,Dimethoate,4.67
Kayonza,B,Cypermethrine,14.02
Kayonza,B,Pilkare,0.00
Kayonza,B,Rocket,49.53
Kayonza,B,Beam,1.87
Kayonza,B,Other ,7.48
Kayonza,C,Dithane,27.03
Kayonza,C,Ridomil,0.00
Kayonza,C,Dimethoate,16.89
Kayonza,C,Cypermethrin,6.08
Kayonza,C,Rocket,22.97
Kayonza,C,Beam,0.00
Kayonza,C,Others,27.05
Kicukiro,A,Dithane,12.29
Kicukiro,A,Ridomil,0.00
Kicukiro,A,Dimethoate,4.15
Kicukiro,A,Cypermethrin,3.86
Kicukiro,A,Dursiban,0.00
Kicukiro,A,Rocket,65.48
Kicukiro,A,Beam,0.01
Kicukiro,A,Others,14.22
Kicukiro,B,Dithane,12.00
Kicukiro,B,Ridomil,0.00
Kicukiro,B,Dimethoate,0.00
Kicukiro,B,Cypermethrine,4.00
Kicukiro,B,Pilkare,0.00
Kicukiro,B,Rocket,76.00
Kicukiro,B,Beam,4.00
Kicukiro,B,Other ,4.00
Kicukiro,C,Dithane,20.51
Kicukiro,C,Ridomil,0.00
Kicukiro,C,Dimethoate,25.64
Kicukiro,C,Cypermethrin,15.38
Kicukiro,C,Rocket,5.13
Kicukiro,C,Beam,0.00
Kicukiro,C,Others,33.33
Kirehe,A,Dithane,10.53
Kirehe,A,Ridomil,0.21
Kirehe,A,Dimethoate,10.96
Kirehe,A,Cypermethrin,3.21
Kirehe,A,Dursiban,0.00
Kirehe,A,Rocket,65.33
Kirehe,A,Beam,0.01
Kirehe,A,Others,9.74
Kirehe,B,Dithane,17.54
Kirehe,B,Ridomil,0.00
Kirehe,B,Dimethoate,8.77
Kirehe,B,Cypermethrine,21.05
Kirehe,B,Pilkare,0.00
Kirehe,B,Rocket,35.09
Kirehe,B,Beam,1.75
Kirehe,B,Other ,15.79
Kirehe,C,Dithane,28.05
Kirehe,C,Ridomil,0.00
Kirehe,C,Dimethoate,14.63
Kirehe,C,Cypermethrin,9.76
Kirehe,C,Rocket,34.76
Kirehe,C,Beam,0.00
Kirehe,C,Others,12.81
Muhanga,A,Dithane,26.33
Muhanga,A,Ridomil,0.00
Muhanga,A,Dimethoate,1.97
Muhanga,A,Cypermethrin,24.40
Muhanga,A,Dursiban,0.00
Muhanga,A,Rocket,47.29
Muhanga,A,Beam,0.00
Muhanga,A,Others,0.00
Muhanga,B,Dithane,4.08
Muhanga,B,Ridomil,2.04
Muhanga,B,Dimethoate,4.08
Muhanga,B,Cypermethrine,26.53
Muhanga,B,Pilkare,0.00
Muhanga,B,Rocket,59.18
Muhanga,B,Beam,2.04
Muhanga,B,Other ,2.04
Muhanga,C,Dithane,30.15
Muhanga,C,Ridomil,0.00
Muhanga,C,Dimethoate,17.65
Muhanga,C,Cypermethrin,5.88
Muhanga,C,Rocket,39.71
Muhanga,C,Beam,0.00
Muhanga,C,Others,6.64
Musanze,A,Dithane,36.62
Musanze,A,Ridomil,3.78
Musanze,A,Dimethoate,14.72
Musanze,A,Cypermethrin,13.07
Musanze,A,Dursiban,0.00
Musanze,A,Rocket,29.95
Musanze,A,Beam,0.00
Musanze,A,Others,1.88
Musanze,B,Dithane,66.26
Musanze,B,Ridomil,0.00
Musanze,B,Dimethoate,3.70
Musanze,B,Cypermethrine,16.05
Musanze,B,Pilkare,0.00
Musanze,B,Rocket,13.17
Musanze,B,Beam,0.00
Musanze,B,Other ,0.82
Musanze,C,Dithane,47.25
Musanze,C,Ridomil,3.96
Musanze,C,Dimethoate,17.36
Musanze,C,Cypermethrin,13.19
Musanze,C,Rocket,6.81
Musanze,C,Beam,0.00
Musanze,C,Others,11.43
Ngoma,A,Dithane,17.95
Ngoma,A,Ridomil,0.00
Ngoma,A,Dimethoate,11.84
Ngoma,A,Cypermethrin,16.27
Ngoma,A,Dursiban,0.00
Ngoma,A,Rocket,41.21
Ngoma,A,Beam,0.07
Ngoma,A,Others,12.67
Ngoma,B,Dithane,30.95
Ngoma,B,Ridomil,0.00
Ngoma,B,Dimethoate,9.52
Ngoma,B,Cypermethrine,14.29
Ngoma,B,Pilkare,2.38
Ngoma,B,Rocket,30.95
Ngoma,B,Beam,2.38
Ngoma,B,Other ,9.52
Ngoma,C,Dithane,21.52
Ngoma,C,Ridomil,0.63
Ngoma,C,Dimethoate,8.86
Ngoma,C,Cypermethrin,8.86
Ngoma,C,Rocket,33.54
Ngoma,C,Beam,0.00
Ngoma,C,Others,26.58
Ngororero,A,Dithane,44.44
Ngororero,A,Ridomil,2.75
Ngororero,A,Dimethoate,0.60
Ngororero,A,Cypermethrin,12.56
Ngororero,A,Dursiban,0.00
Ngororero,A,Rocket,34.10
Ngororero,A,Beam,0.00
Ngororero,A,Others,5.55
Ngororero,B,Dithane,38.81
Ngororero,B,Ridomil,0.00
Ngororero,B,Dimethoate,0.00
Ngororero,B,Cypermethrine,5.97
Ngororero,B,Pilkare,0.00
Ngororero,B,Rocket,52.24
Ngororero,B,Beam,0.00
Ngororero,B,Other ,2.99
Ngororero,C,Dithane,54.55
Ngororero,C,Ridomil,0.00
Ngororero,C,Dimethoate,15.15
Ngororero,C,Cypermethrin,3.03
Ngororero,C,Rocket,27.27
Ngororero,C,Beam,0.00
Ngororero,C,Others,0.00
Nyabihu,A,Dithane,35.52
Nyabihu,A,Ridomil,15.31
Nyabihu,A,Dimethoate,21.49
Nyabihu,A,Cypermethrin,15.35
Nyabihu,A,Dursiban,0.00
Nyabihu,A,Rocket,4.98
Nyabihu,A,Beam,0.00
Nyabihu,A,Others,7.36
Nyabihu,B,Dithane,82.14
Nyabihu,B,Ridomil,1.02
Nyabihu,B,Dimethoate,1.02
Nyabihu,B,Cypermethrine,10.20
Nyabihu,B,Pilkare,0.00
Nyabihu,B,Rocket,4.59
Nyabihu,B,Beam,0.00
Nyabihu,B,Other ,1.02
Nyabihu,C,Dithane,44.16
Nyabihu,C,Ridomil,10.05
Nyabihu,C,Dimethoate,19.63
Nyabihu,C,Cypermethrin,9.81
Nyabihu,C,Rocket,6.31
Nyabihu,C,Beam,0.00
Nyabihu,C,Others,10.04
Nyagatare,A,Dithane,17.26
Nyagatare,A,Ridomil,2.78
Nyagatare,A,Dimethoate,10.30
Nyagatare,A,Cypermethrin,14.04
Nyagatare,A,Dursiban,0.00
Nyagatare,A,Rocket,50.70
Nyagatare,A,Beam,0.04
Nyagatare,A,Others,4.89
Nyagatare,B,Dithane,9.43
Nyagatare,B,Ridomil,0.00
Nyagatare,B,Dimethoate,11.32
Nyagatare,B,Cypermethrine,22.64
Nyagatare,B,Pilkare,0.00
Nyagatare,B,Rocket,23.58
Nyagatare,B,Beam,1.89
Nyagatare,B,Other ,31.13
Nyagatare,C,Dithane,28.40
Nyagatare,C,Ridomil,3.70
Nyagatare,C,Dimethoate,8.64
Nyagatare,C,Cypermethrin,12.35
Nyagatare,C,Rocket,19.75
Nyagatare,C,Beam,1.23
Nyagatare,C,Others,25.90
Nyamagabe,A,Dithane,44.76
Nyamagabe,A,Ridomil,0.42
Nyamagabe,A,Dimethoate,0.00
Nyamagabe,A,Cypermethrin,31.76
Nyamagabe,A,Dursiban,0.00
Nyamagabe,A,Rocket,19.10
Nyamagabe,A,Beam,0.00
Nyamagabe,A,Others,3.96
Nyamagabe,B,Dithane,46.99
Nyamagabe,B,Ridomil,0.00
Nyamagabe,B,Dimethoate,0.00
Nyamagabe,B,Cypermethrine,20.48
Nyamagabe,B,Pilkare,0.00
Nyamagabe,B,Rocket,28.92
Nyamagabe,B,Beam,0.00
Nyamagabe,B,Other ,3.61
Nyamagabe,C,Dithane,68.24
Nyamagabe,C,Ridomil,0.68
Nyamagabe,C,Dimethoate,0.00
Nyamagabe,C,Cypermethrin,14.19
Nyamagabe,C,Rocket,16.55
Nyamagabe,C,Beam,0.00
Nyamagabe,C,Others,0.34
Nyamasheke,A,Dithane,15.16
Nyamasheke,A,Ridomil,0.26
Nyamasheke,A,Dimethoate,22.73
Nyamasheke,A,Cypermethrin,35.58
