District,Season,Sowing Date,Percentage of famers
Nyamagabe,A,Between16- 31/10,6.05
Nyamagabe,A,After 31/10,10.53
Nyamagabe,A,Other seasons,23.25
Nyamasheke,A,Before 01/09,3.55
Nyamasheke,A,Between 01-15 /09,19.49
Nyamasheke,A,Between 16- 30/09,28.73
Nyamasheke,A,Between 01-15/10,11.44
Nyamasheke,A,Between16- 31/10,1.18
Nyamasheke,A,After 31/10,2.84
Nyamasheke,A,Other seasons,32.75
Nyanza,A,Before 01/09,1.55
Nyanza,A,Between 01-15 /09,6.86
Nyanza,A,Between 16- 30/09,16.14
Nyanza,A,Between 01-15/10,34.45
Nyanza,A,Between16- 31/10,6.80
Nyanza,A,After 31/10,4.64
Nyanza,A,Other seasons,29.56
Nyarugenge,A,Before 01/09,0.35
Nyarugenge,A,Between 01-15 /09,5.81
Nyarugenge,A,Between 16- 30/09,9.51
Nyarugenge,A,Between 01-15/10,35.74
Nyarugenge,A,Between16- 31/10,4.58
Nyarugenge,A,After 31/10,5.46
Nyarugenge,A,Other seasons,38.56
Nyaruguru,A,Before 01/09,7.47
Nyaruguru,A,Between 01-15 /09,19.00
Nyaruguru,A,Between 16- 30/09,17.87
Nyaruguru,A,Between 01-15/10,18.33
Nyaruguru,A,Between16- 31/10,4.98
Nyaruguru,A,After 31/10,7.24
Nyaruguru,A,Other seasons,25.11
Rubavu,A,Before 01/09,25.55
Rubavu,A,Between 01-15 /09,36.71
Rubavu,A,Between 16- 30/09,4.88
Rubavu,A,Between 01-15/10,3.72
Rubavu,A,Between16- 31/10,2.70
Rubavu,A,After 31/10,6.68
Rubavu,A,Other seasons,19.77
Ruhango,A,Before 01/09,3.28
Ruhango,A,Between 01-15 /09,12.00
Ruhango,A,Between 16- 30/09,13.54
Ruhango,A,Between 01-15/10,29.62
Ruhango,A,Between16- 31/10,6.57
Ruhango,A,After 31/10,3.55
Ruhango,A,Other seasons,31.43
Rulindo,A,Before 01/09,6.19
Rulindo,A,Between 01-15 /09,30.71
Rulindo,A,Between 16- 30/09,16.88
Rulindo,A,Between 01-15/10,6.65
Rulindo,A,Between16- 31/10,1.91
Rulindo,A,After 31/10,3.59
Rulindo,A,Other seasons,34.07
Rusizi,A,Before 01/09,2.40
Rusizi,A,Between 01-15 /09,9.23
Rusizi,A,Between 16- 30/09,34.89
Rusizi,A,Between 01-15/10,29.97
Rusizi,A,Between16- 31/10,4.49
Rusizi,A,After 31/10,2.34
Rusizi,A,Other seasons,16.68
Rutsiro,A,Before 01/09,20.67
Rutsiro,A,Between 01-15 /09,23.89
Rutsiro,A,Between 16- 30/09,13.00
Rutsiro,A,Between 01-15/10,3.53
Rutsiro,A,Between16- 31/10,2.02
Rutsiro,A,After 31/10,4.13
Rutsiro,A,Other seasons,32.76
Rwamagana,A,Before 01/09,1.06
Rwamagana,A,Between 01-15 /09,8.43
Rwamagana,A,Between 16- 30/09,22.28
Rwamagana,A,Between 01-15/10,25.13
Rwamagana,A,Between16- 31/10,2.93
Rwamagana,A,After 31/10,2.93
Rwamagana,A,Other seasons,37.23
