District,Crop,Season,Average yield
Muhanga,Fodder crops,A,22545.37
Muhanga,Other crops,A,15355.49
Muhanga,Maize,B,1257.88
Muhanga,Sorghum,B,728.67
Muhanga,Paddy rice,B,2019.91
Muhanga,Wheat,B,2457.05
Muhanga,Chia seeds,B,0.00
Muhanga,Other Cereals,B,0.00
Muhanga,Cassava,B,16840.42
Muhanga,Sweet potatoes,B,7639.30
Muhanga,Irish potatoes,B,3290.22
Muhanga,Yams & Taro,B,7231.23
Muhanga,Bananas,B,8937.86
Muhanga,Cooking Banana,B,16396.79
Muhanga,Dessert banana,B,10975.35
Muhanga,Banana for beer,B,8133.83
Muhanga,Beans,B,558.61
Muhanga,Bush bean,B,604.03
Muhanga,Climbing bean,B,499.17
Muhanga,Peas,B,554.19
Muhanga,Ground nuts,B,0.00
Muhanga,Soya beans,B,510.84
Muhanga,Vegetables,B,8800.24
Muhanga,Fruits,B,3080.84
Muhanga,Fodder crops,B,8233.63
Muhanga,Other crops,B,12250.84
Muhanga,Tubers and Roots,C,7208.38
Muhanga,Sweet potatoes,C,7798.30
Muhanga,Irish potatoes,C,5649.23
Muhanga,Bean,C,945.97
Muhanga,Bush bean,C,977.75
Muhanga,Climbing bean,C,300.35
Muhanga,Peas,C,544.27
Muhanga,Soya beans,C,894.26
Muhanga,Vegetables,C,8732.68
Musanze,Maize,A,1836.68
Musanze,Sorghum,A,1502.08
Musanze,Paddy rice,A,0.00
Musanze,Wheat,A,1229.48
Musanze,Other cereals,A,147.36
Musanze,Cassava,A,5615.21
Musanze,Sweet potato,A,7475.36
Musanze,Irish potato,A,12543.06
Musanze,Yams & Taro,A,3050.02
Musanze,Bananas,A,11402.73
Musanze,Cooking banana,A,13057.04
Musanze,Dessert banana,A,8468.99
Musanze,Banana for beer,A,10624.07
Musanze,Bean,A,1072.02
Musanze,Bush bean,A,414.20
Musanze,Climbing bean,A,1114.28
Musanze,Pea,A,556.73
Musanze,Groundnuts,A,0.00
Musanze,Soybean,A,548.63
Musanze,vegetables,A,7172.09
Musanze,Fruits,A,7020.46
Musanze,Fodder crops,A,4661.25
Musanze,Other crops,A,5153.97
Musanze,Maize,B,1475.50
Musanze,Sorghum,B,1228.88
Musanze,Paddy rice,B,0.00
Musanze,Wheat,B,1236.50
Musanze,Chia seeds,B,0.00
Musanze,Other Cereals,B,0.00
Musanze,Cassava,B,13048.56
Musanze,Sweet potatoes,B,9266.11
Musanze,Irish potatoes,B,8717.10
Musanze,Yams & Taro,B,10784.33
Musanze,Bananas,B,9933.59
Musanze,Cooking Banana,B,13953.40
Musanze,Dessert banana,B,7762.64
Musanze,Banana for beer,B,9454.56
Musanze,Beans,B,1314.81
Musanze,Bush bean,B,818.07
Musanze,Climbing bean,B,1343.44
Musanze,Peas,B,939.63
Musanze,Ground nuts,B,0.00
Musanze,Soya beans,B,651.12
Musanze,Vegetables,B,9452.31
Musanze,Fruits,B,7469.22
Musanze,Fodder crops,B,9304.52
Musanze,Other crops,B,8677.94
Musanze,Tubers and Roots,C,7472.01
Musanze,Sweet potatoes,C,6045.44
Musanze,Irish potatoes,C,7794.69
Musanze,Bean,C,824.11
Musanze,Bush bean,C,570.31
Musanze,Climbing bean,C,1122.25
Musanze,Peas,C,265.35
Musanze,Soya beans,C,0.00
Musanze,Vegetables,C,9861.37
Ngoma,Maize,A,1671.65
Ngoma,Sorghum,A,966.53
Ngoma,Paddy rice,A,3572.97
Ngoma,Wheat,A,0.00
Ngoma,Other cereals,A,449.81
Ngoma,Cassava,A,12598.66
Ngoma,Sweet potato,A,6760.06
Ngoma,Irish potato,A,5027.94
Ngoma,Yams & Taro,A,3565.94
Ngoma,Bananas,A,12867.57
Ngoma,Cooking banana,A,16219.46
Ngoma,Dessert banana,A,6767.09
Ngoma,Banana for beer,A,10548.80
Ngoma,Bean,A,555.90
Ngoma,Bush bean,A,544.46
Ngoma,Climbing bean,A,724.87
Ngoma,Pea,A,785.89
Ngoma,Groundnuts,A,506.83
Ngoma,Soybean,A,630.61
Ngoma,vegetables,A,7476.47
Ngoma,Fruits,A,4806.11
Ngoma,Fodder crops,A,41860.92
Ngoma,Other crops,A,39612.69
Ngoma,Maize,B,930.29
Ngoma,Sorghum,B,1035.58
Ngoma,Paddy rice,B,3586.70
Ngoma,Wheat,B,0.00
Ngoma,Chia seeds,B,381.06
Ngoma,Other Cereals,B,1078.34
Ngoma,Cassava,B,17225.14
Ngoma,Sweet potatoes,B,6703.56
Ngoma,Irish potatoes,B,5330.66
Ngoma,Yams & Taro,B,3868.99
Ngoma,Bananas,B,15792.95
Ngoma,Cooking Banana,B,19351.04
Ngoma,Dessert banana,B,8250.61
Ngoma,Banana for beer,B,11097.44
Ngoma,Beans,B,861.50
Ngoma,Bush bean,B,855.77
Ngoma,Climbing bean,B,893.70
Ngoma,Peas,B,560.45
Ngoma,Ground nuts,B,598.99
Ngoma,Soya beans,B,530.22
Ngoma,Vegetables,B,10358.76
Ngoma,Fruits,B,6010.59
Ngoma,Fodder crops,B,11897.13
Ngoma,Other crops,B,2702.89
Ngoma,Tubers and Roots,C,5425.55
Ngoma,Sweet potatoes,C,5021.56
Ngoma,Irish potatoes,C,9889.68
Ngoma,Bean,C,997.92
Ngoma,Bush bean,C,997.92
Ngoma,Climbing bean,C,0.00
Ngoma,Peas,C,259.13
Ngoma,Soya beans,C,377.37
Ngoma,Vegetables,C,12137.63
Ngororero,Maize,A,1057.33
Ngororero,Sorghum,A,814.18
Ngororero,Paddy rice,A,0.00
Ngororero,Wheat,A,1021.22
Ngororero,Other cereals,A,0.00
Ngororero,Cassava,A,15546.08
Ngororero,Sweet potato,A,6124.90
Ngororero,Irish potato,A,4352.26
Ngororero,Yams & Taro,A,6546.23
Ngororero,Bananas,A,7655.60
Ngororero,Cooking banana,A,8212.95
Ngororero,Dessert banana,A,6922.60
Ngororero,Banana for beer,A,7711.97
Ngororero,Bean,A,777.09
Ngororero,Bush bean,A,462.19
Ngororero,Climbing bean,A,836.76
Ngororero,Pea,A,769.87
Ngororero,Groundnuts,A,0.00
Ngororero,Soybean,A,276.13
Ngororero,vegetables,A,9977.39
Ngororero,Fruits,A,4460.31
Ngororero,Fodder crops,A,25216.79
Ngororero,Other crops,A,9135.77
Ngororero,Maize,B,1162.90
Ngororero,Sorghum,B,363.94
Ngororero,Paddy rice,B,0.00
Ngororero,Wheat,B,1141.88
Ngororero,Chia seeds,B,0.00
Ngororero,Other Cereals,B,0.00
Ngororero,Cassava,B,12781.66
Ngororero,Sweet potatoes,B,6880.94
Ngororero,Irish potatoes,B,4455.43
Ngororero,Yams & Taro,B,9560.12
Ngororero,Bananas,B,10565.20
Ngororero,Cooking Banana,B,15627.51
Ngororero,Dessert banana,B,13407.75
Ngororero,Banana for beer,B,9969.81
Ngororero,Beans,B,910.69
Ngororero,Bush bean,B,550.86
Ngororero,Climbing bean,B,971.78
Ngororero,Peas,B,726.59
Ngororero,Ground nuts,B,0.00
Ngororero,Soya beans,B,359.15
Ngororero,Vegetables,B,9833.77
Ngororero,Fruits,B,3669.86
Ngororero,Fodder crops,B,9284.09
Ngororero,Other crops,B,8038.62
Ngororero,Tubers and Roots,C,7205.49
Ngororero,Sweet potatoes,C,5635.12
Ngororero,Irish potatoes,C,9640.20
Ngororero,Bean,C,1257.90
Ngororero,Bush bean,C,1257.90
Ngororero,Climbing bean,C,0.00
Ngororero,Peas,C,0.00
Ngororero,Soya beans,C,486.81
Ngororero,Vegetables,C,5412.94
Nyabihu,Maize,A,1324.84
Nyabihu,Sorghum,A,892.61
Nyabihu,Paddy rice,A,0.00
Nyabihu,Wheat,A,1192.43
Nyabihu,Other cereals,A,0.00
Nyabihu,Cassava,A,10157.90
Nyabihu,Sweet potato,A,6844.99
Nyabihu,Irish potato,A,12064.48
Nyabihu,Yams & Taro,A,0.00
Nyabihu,Bananas,A,7755.34
Nyabihu,Cooking banana,A,10213.67
Nyabihu,Dessert banana,A,6688.21
Nyabihu,Banana for beer,A,7257.58
Nyabihu,Bean,A,640.85
Nyabihu,Bush bean,A,417.18
Nyabihu,Climbing bean,A,648.33
Nyabihu,Pea,A,950.80
Nyabihu,Groundnuts,A,0.00
Nyabihu,Soybean,A,110.42
Nyabihu,vegetables,A,13067.27
Nyabihu,Fruits,A,6312.25
Nyabihu,Fodder crops,A,8445.15
Nyabihu,Other crops,A,448.54
Nyabihu,Maize,B,1435.44
Nyabihu,Sorghum,B,0.00
Nyabihu,Paddy rice,B,0.00
Nyabihu,Wheat,B,1059.82
Nyabihu,Chia seeds,B,0.00
Nyabihu,Other Cereals,B,0.00
Nyabihu,Cassava,B,9713.25
Nyabihu,Sweet potatoes,B,6122.81
Nyabihu,Irish potatoes,B,8949.29
Nyabihu,Yams & Taro,B,8836.37
Nyabihu,Bananas,B,9571.18
Nyabihu,Cooking Banana,B,16746.34
Nyabihu,Dessert banana,B,8948.51
Nyabihu,Banana for beer,B,7549.17
Nyabihu,Beans,B,1403.81
Nyabihu,Bush bean,B,756.11
Nyabihu,Climbing bean,B,1409.19
Nyabihu,Peas,B,747.13
Nyabihu,Ground nuts,B,0.00
Nyabihu,Soya beans,B,582.05
Nyabihu,Vegetables,B,18511.24
Nyabihu,Fruits,B,5011.83
Nyabihu,Fodder crops,B,3730.65
Nyabihu,Other crops,B,700.00
Nyabihu,Tubers and Roots,C,10324.82
Nyabihu,Sweet potatoes,C,5326.78
Nyabihu,Irish potatoes,C,10549.37
Nyabihu,Bean,C,653.39
Nyabihu,Bush bean,C,0.00
Nyabihu,Climbing bean,C,653.39
Nyabihu,Peas,C,593.17
Nyabihu,Soya beans,C,0.00
Nyabihu,Vegetables,C,14372.14
Nyagatare,Maize,A,1954.48
Nyagatare,Sorghum,A,1464.88
Nyagatare,Paddy rice,A,4074.06
Nyagatare,Wheat,A,0.00
Nyagatare,Other cereals,A,490.71
Nyagatare,Cassava,A,14635.05
Nyagatare,Sweet potato,A,4722.99
Nyagatare,Irish potato,A,5801.38
Nyagatare,Yams & Taro,A,0.00
Nyagatare,Bananas,A,14551.18
Nyagatare,Cooking banana,A,18391.73
Nyagatare,Dessert banana,A,7807.70
Nyagatare,Banana for beer,A,11126.64
Nyagatare,Bean,A,653.22
Nyagatare,Bush bean,A,642.60
Nyagatare,Climbing bean,A,744.70
Nyagatare,Pea,A,502.80
Nyagatare,Groundnuts,A,416.92
Nyagatare,Soybean,A,719.23
Nyagatare,vegetables,A,5459.14
Nyagatare,Fruits,A,2844.25
Nyagatare,Fodder crops,A,47.94
Nyagatare,Other crops,A,24708.01
Nyagatare,Maize,B,1654.45
Nyagatare,Sorghum,B,1027.86
Nyagatare,Paddy rice,B,3921.22
Nyagatare,Wheat,B,0.00
Nyagatare,Chia seeds,B,521.48
Nyagatare,Other Cereals,B,1041.23
Nyagatare,Cassava,B,19688.51
Nyagatare,Sweet potatoes,B,4837.41
Nyagatare,Irish potatoes,B,4184.28
Nyagatare,Yams & Taro,B,5770.31
Nyagatare,Bananas,B,14128.31
Nyagatare,Cooking Banana,B,19327.40
Nyagatare,Dessert banana,B,8513.93
Nyagatare,Banana for beer,B,9174.78
Nyagatare,Beans,B,825.82
Nyagatare,Bush bean,B,819.95
Nyagatare,Climbing bean,B,974.24
Nyagatare,Peas,B,479.32
Nyagatare,Ground nuts,B,588.65
Nyagatare,Soya beans,B,753.62
Nyagatare,Vegetables,B,11976.93
Nyagatare,Fruits,B,5282.54
Nyagatare,Fodder crops,B,1142.60
Nyagatare,Other crops,B,9928.46
Nyagatare,Tubers and Roots,C,4951.57
Nyagatare,Sweet potatoes,C,5184.89
Nyagatare,Irish potatoes,C,1398.12
Nyagatare,Bean,C,0.00
Nyagatare,Bush bean,C,0.00
Nyagatare,Climbing bean,C,0.00
Nyagatare,Peas,C,0.00
Nyagatare,Soya beans,C,0.00
Nyagatare,Vegetables,C,10510.76
Nyamagabe,Maize,A,1484.59
Nyamagabe,Sorghum,A,0.00
Nyamagabe,Paddy rice,A,1942.78
Nyamagabe,Wheat,A,546.60
Nyamagabe,Other cereals,A,47.26
Nyamagabe,Cassava,A,9147.86
Nyamagabe,Sweet potato,A,7282.18
Nyamagabe,Irish potato,A,5478.46
Nyamagabe,Yams & Taro,A,4449.94
Nyamagabe,Bananas,A,8403.29
Nyamagabe,Cooking banana,A,6981.57
Nyamagabe,Dessert banana,A,7290.27
Nyamagabe,Banana for beer,A,9095.21
Nyamagabe,Bean,A,568.54
Nyamagabe,Bush bean,A,495.58
Nyamagabe,Climbing bean,A,600.42
Nyamagabe,Pea,A,969.11
Nyamagabe,Groundnuts,A,0.00
Nyamagabe,Soybean,A,399.40
Nyamagabe,vegetables,A,9645.82
Nyamagabe,Fruits,A,3368.65
Nyamagabe,Fodder crops,A,1641.13
Nyamagabe,Other crops,A,0.00
Nyamagabe,Maize,B,1073.27
Nyamagabe,Sorghum,B,801.04
Nyamagabe,Paddy rice,B,2272.69
Nyamagabe,Wheat,B,1236.02
Nyamagabe,Chia seeds,B,0.00
Nyamagabe,Other Cereals,B,0.00
Nyamagabe,Cassava,B,14103.79
Nyamagabe,Sweet potatoes,B,6420.98
Nyamagabe,Irish potatoes,B,6933.89
Nyamagabe,Yams & Taro,B,8534.21
Nyamagabe,Bananas,B,7337.46
Nyamagabe,Cooking Banana,B,9839.67
Nyamagabe,Dessert banana,B,14073.69
Nyamagabe,Banana for beer,B,6478.42
Nyamagabe,Beans,B,530.57
Nyamagabe,Bush bean,B,585.75
Nyamagabe,Climbing bean,B,520.88
Nyamagabe,Peas,B,815.31
Nyamagabe,Ground nuts,B,0.00
Nyamagabe,Soya beans,B,594.77
Nyamagabe,Vegetables,B,12201.33
Nyamagabe,Fruits,B,4571.84
Nyamagabe,Fodder crops,B,4296.37
Nyamagabe,Other crops,B,1268.25
Nyamagabe,Tubers and Roots,C,6640.27
Nyamagabe,Sweet potatoes,C,5327.27
Nyamagabe,Irish potatoes,C,7520.56
Nyamagabe,Bean,C,839.72
Nyamagabe,Bush bean,C,917.31
Nyamagabe,Climbing bean,C,523.51
Nyamagabe,Peas,C,636.86
Nyamagabe,Soya beans,C,0.00
Nyamagabe,Vegetables,C,9951.94
Nyamasheke,Maize,A,1683.65
Nyamasheke,Sorghum,A,778.93
Nyamasheke,Paddy rice,A,3910.95
Nyamasheke,Wheat,A,541.10
Nyamasheke,Other cereals,A,849.07
Nyamasheke,Cassava,A,9942.45
Nyamasheke,Sweet potato,A,4420.03
Nyamasheke,Irish potato,A,5123.30
Nyamasheke,Yams & Taro,A,4833.72
Nyamasheke,Bananas,A,7795.28
Nyamasheke,Cooking banana,A,7964.50
Nyamasheke,Dessert banana,A,7918.56
Nyamasheke,Banana for beer,A,7697.45
Nyamasheke,Bean,A,783.16
Nyamasheke,Bush bean,A,644.63
Nyamasheke,Climbing bean,A,845.33
Nyamasheke,Pea,A,727.02
Nyamasheke,Groundnuts,A,407.98
Nyamasheke,Soybean,A,509.42
Nyamasheke,vegetables,A,11819.93
Nyamasheke,Fruits,A,6170.73
Nyamasheke,Fodder crops,A,0.00
Nyamasheke,Other crops,A,7960.72
Nyamasheke,Maize,B,846.55
Nyamasheke,Sorghum,B,848.33
Nyamasheke,Paddy rice,B,3930.63
Nyamasheke,Wheat,B,0.00
Nyamasheke,Chia seeds,B,0.00
Nyamasheke,Other Cereals,B,0.00
Nyamasheke,Cassava,B,12409.52
Nyamasheke,Sweet potatoes,B,8560.53
Nyamasheke,Irish potatoes,B,2498.19
Nyamasheke,Yams & Taro,B,7223.51
Nyamasheke,Bananas,B,12041.46
Nyamasheke,Cooking Banana,B,14597.89
Nyamasheke,Dessert banana,B,13622.49
Nyamasheke,Banana for beer,B,11176.58
Nyamasheke,Beans,B,796.26
Nyamasheke,Bush bean,B,642.20
Nyamasheke,Climbing bean,B,839.83
Nyamasheke,Peas,B,717.19
Nyamasheke,Ground nuts,B,464.17
Nyamasheke,Soya beans,B,468.47
Nyamasheke,Vegetables,B,13573.52
Nyamasheke,Fruits,B,5407.58
Nyamasheke,Fodder crops,B,0.00
Nyamasheke,Other crops,B,2876.37
Nyamasheke,Tubers and Roots,C,4356.04
Nyamasheke,Sweet potatoes,C,4358.38
Nyamasheke,Irish potatoes,C,0.00
Nyamasheke,Bean,C,0.00
Nyamasheke,Bush bean,C,0.00
Nyamasheke,Climbing bean,C,0.00
Nyamasheke,Peas,C,0.00
Nyamasheke,Soya beans,C,0.00
Nyamasheke,Vegetables,C,10278.50
Nyanza,Maize,A,1676.06
Nyanza,Sorghum,A,644.68
Nyanza,Paddy rice,A,4500.90
Nyanza,Wheat,A,0.00
Nyanza,Other cereals,A,636.23
Nyanza,Cassava,A,14969.10
Nyanza,Sweet potato,A,6026.66
Nyanza,Irish potato,A,3617.40
Nyanza,Yams & Taro,A,3414.19
Nyanza,Bananas,A,8014.27
Nyanza,Cooking banana,A,6946.94
Nyanza,Dessert banana,A,7127.80
Nyanza,Banana for beer,A,8932.15
Nyanza,Bean,A,627.17
Nyanza,Bush bean,A,646.06
Nyanza,Climbing bean,A,523.76
Nyanza,Pea,A,1353.93
Nyanza,Groundnuts,A,231.39
Nyanza,Soybean,A,390.55
Nyanza,vegetables,A,8050.16
Nyanza,Fruits,A,1976.74
Nyanza,Fodder crops,A,11211.72
Nyanza,Other crops,A,945.34
Nyanza,Maize,B,1049.16
Nyanza,Sorghum,B,1154.45
Nyanza,Paddy rice,B,3648.99
Nyanza,Wheat,B,0.00
Nyanza,Chia seeds,B,578.07
Nyanza,Other Cereals,B,915.30
Nyanza,Cassava,B,17096.06
Nyanza,Sweet potatoes,B,9486.85
Nyanza,Irish potatoes,B,3137.57
Nyanza,Yams & Taro,B,4120.11
Nyanza,Bananas,B,9699.55
Nyanza,Cooking Banana,B,12270.23
Nyanza,Dessert banana,B,8953.22
Nyanza,Banana for beer,B,9219.03
Nyanza,Beans,B,626.26
Nyanza,Bush bean,B,583.55
Nyanza,Climbing bean,B,806.78
Nyanza,Peas,B,527.95
Nyanza,Ground nuts,B,334.48
Nyanza,Soya beans,B,502.16
Nyanza,Vegetables,B,10798.07
Nyanza,Fruits,B,3708.64
Nyanza,Fodder crops,B,16840.63
Nyanza,Other crops,B,1616.39
Nyanza,Tubers and Roots,C,5165.19
Nyanza,Sweet potatoes,C,5277.09
Nyanza,Irish potatoes,C,2903.61
Nyanza,Bean,C,1023.84
Nyanza,Bush bean,C,979.68
Nyanza,Climbing bean,C,1508.04
Nyanza,Peas,C,1083.22
Nyanza,Soya beans,C,1026.75
Nyanza,Vegetables,C,11285.21
Nyarugenge,Maize,A,935.52
Nyarugenge,Sorghum,A,0.00
Nyarugenge,Paddy rice,A,0.00
Nyarugenge,Wheat,A,0.00
Nyarugenge,Other cereals,A,0.00
Nyarugenge,Cassava,A,9287.63
Nyarugenge,Sweet potato,A,5712.23
Nyarugenge,Irish potato,A,2438.79
Nyarugenge,Yams & Taro,A,7688.96
Nyarugenge,Bananas,A,10644.23
Nyarugenge,Cooking banana,A,10881.03
Nyarugenge,Dessert banana,A,9795.10
Nyarugenge,Banana for beer,A,10827.62
Nyarugenge,Bean,A,727.40
Nyarugenge,Bush bean,A,728.02
Nyarugenge,Climbing bean,A,684.92
Nyarugenge,Pea,A,0.00
Nyarugenge,Groundnuts,A,203.96
Nyarugenge,Soybean,A,692.25
Nyarugenge,vegetables,A,6777.56
Nyarugenge,Fruits,A,8506.90
Nyarugenge,Fodder crops,A,10279.74
Nyarugenge,Other crops,A,37278.60
Nyarugenge,Maize,B,1001.21
Nyarugenge,Sorghum,B,736.34
Nyarugenge,Paddy rice,B,0.00
Nyarugenge,Wheat,B,0.00
Nyarugenge,Chia seeds,B,76.72
Nyarugenge,Other Cereals,B,0.00
Nyarugenge,Cassava,B,12539.53
Nyarugenge,Sweet potatoes,B,4869.94
Nyarugenge,Irish potatoes,B,3011.54
Nyarugenge,Yams & Taro,B,7491.83
Nyarugenge,Bananas,B,10513.01
Nyarugenge,Cooking Banana,B,18769.40
Nyarugenge,Dessert banana,B,8549.35
Nyarugenge,Banana for beer,B,9134.67
Nyarugenge,Beans,B,746.46
Nyarugenge,Bush bean,B,743.14
Nyarugenge,Climbing bean,B,860.41
Nyarugenge,Peas,B,0.00
Nyarugenge,Ground nuts,B,395.72
Nyarugenge,Soya beans,B,596.93
Nyarugenge,Vegetables,B,6569.11
Nyarugenge,Fruits,B,16369.82
Nyarugenge,Fodder crops,B,6176.64
Nyarugenge,Other crops,B,7694.08
Nyarugenge,Tubers and Roots,C,0.00
Nyarugenge,Sweet potatoes,C,4646.01
Nyarugenge,Irish potatoes,C,11540.47
Nyarugenge,Bean,C,756.64
Nyarugenge,Bush bean,C,756.64
Nyarugenge,Climbing bean,C,0.00
Nyarugenge,Peas,C,0.00
Nyarugenge,Soya beans,C,809.53
Nyarugenge,Vegetables,C,12838.09
Nyaruguru,Maize,A,1930.20
Nyaruguru,Sorghum,A,0.00
Nyaruguru,Paddy rice,A,0.00
Nyaruguru,Wheat,A,0.00
Nyaruguru,Other cereals,A,312.76
Nyaruguru,Cassava,A,10391.57
Nyaruguru,Sweet potato,A,10019.26
Nyaruguru,Irish potato,A,5305.39
Nyaruguru,Yams & Taro,A,7373.62
Nyaruguru,Bananas,A,10473.75
Nyaruguru,Cooking banana,A,11412.54
Nyaruguru,Dessert banana,A,9001.42
Nyaruguru,Banana for beer,A,10414.11
Nyaruguru,Bean,A,588.94
Nyaruguru,Bush bean,A,555.27
Nyaruguru,Climbing bean,A,597.43
Nyaruguru,Pea,A,889.68
Nyaruguru,Groundnuts,A,0.00
Nyaruguru,Soybean,A,405.56
Nyaruguru,vegetables,A,7836.02
Nyaruguru,Fruits,A,5759.49
Nyaruguru,Fodder crops,A,3201.19
Nyaruguru,Other crops,A,552.65
Nyaruguru,Maize,B,1621.70
Nyaruguru,Sorghum,B,600.97
Nyaruguru,Paddy rice,B,0.00
Nyaruguru,Wheat,B,872.81
Nyaruguru,Chia seeds,B,723.14
Nyaruguru,Other Cereals,B,0.00
Nyaruguru,Cassava,B,15230.47
Nyaruguru,Sweet potatoes,B,8085.35
Nyaruguru,Irish potatoes,B,5785.82
Nyaruguru,Yams & Taro,B,10297.72
Nyaruguru,Bananas,B,10076.79
Nyaruguru,Cooking Banana,B,15006.96
Nyaruguru,Dessert banana,B,8175.20
Nyaruguru,Banana for beer,B,8490.47
Nyaruguru,Beans,B,663.20
Nyaruguru,Bush bean,B,507.95
Nyaruguru,Climbing bean,B,698.52
Nyaruguru,Peas,B,940.84
Nyaruguru,Ground nuts,B,181.89
Nyaruguru,Soya beans,B,523.06
Nyaruguru,Vegetables,B,9248.30
Nyaruguru,Fruits,B,3078.35
Nyaruguru,Fodder crops,B,12029.37
Nyaruguru,Other crops,B,1513.86
Nyaruguru,Tubers and Roots,C,5991.30
Nyaruguru,Sweet potatoes,C,4992.50
Nyaruguru,Irish potatoes,C,7635.48
Nyaruguru,Bean,C,1071.82
Nyaruguru,Bush bean,C,1075.37
Nyaruguru,Climbing bean,C,308.18
Nyaruguru,Peas,C,1620.15
Nyaruguru,Soya beans,C,0.00
Nyaruguru,Vegetables,C,10206.20
Rubavu,Maize,A,1672.43
Rubavu,Sorghum,A,918.92
Rubavu,Paddy rice,A,0.00
Rubavu,Wheat,A,0.00
Rubavu,Other cereals,A,0.00
Rubavu,Cassava,A,0.00
Rubavu,Sweet potato,A,8010.07
Rubavu,Irish potato,A,12114.10
Rubavu,Yams & Taro,A,5291.85
Rubavu,Bananas,A,10801.71
Rubavu,Cooking banana,A,10524.54
Rubavu,Dessert banana,A,6119.15
Rubavu,Banana for beer,A,11885.47
Rubavu,Bean,A,773.32
Rubavu,Bush bean,A,474.59
Rubavu,Climbing bean,A,803.24
Rubavu,Pea,A,479.55
Rubavu,Groundnuts,A,0.00
Rubavu,Soybean,A,964.84
Rubavu,vegetables,A,8084.27
Rubavu,Fruits,A,2711.66
Rubavu,Fodder crops,A,642.38
Rubavu,Other crops,A,14049.86
Rubavu,Maize,B,1641.00
Rubavu,Sorghum,B,1170.88
Rubavu,Paddy rice,B,0.00
Rubavu,Wheat,B,0.00
Rubavu,Chia seeds,B,0.00
Rubavu,Other Cereals,B,0.00
Rubavu,Cassava,B,12700.11
Rubavu,Sweet potatoes,B,6521.23
Rubavu,Irish potatoes,B,8043.22
Rubavu,Yams & Taro,B,5963.83
Rubavu,Bananas,B,12641.61
Rubavu,Cooking Banana,B,17833.17
Rubavu,Dessert banana,B,12709.73
Rubavu,Banana for beer,B,11015.31
Rubavu,Beans,B,818.52
Rubavu,Bush bean,B,515.45
Rubavu,Climbing bean,B,879.54
Rubavu,Peas,B,892.65
Rubavu,Ground nuts,B,0.00
Rubavu,Soya beans,B,930.13
Rubavu,Vegetables,B,13647.93
Rubavu,Fruits,B,3449.17
Rubavu,Fodder crops,B,13031.88
Rubavu,Other crops,B,11465.48
Rubavu,Tubers and Roots,C,11683.32
Rubavu,Sweet potatoes,C,4817.79
Rubavu,Irish potatoes,C,12106.08
Rubavu,Bean,C,902.21
Rubavu,Bush bean,C,902.21
Rubavu,Climbing bean,C,0.00
Rubavu,Peas,C,504.55
Rubavu,Soya beans,C,0.00
Rubavu,Vegetables,C,8719.37
Ruhango,Maize,A,1354.70
Ruhango,Sorghum,A,351.98
Ruhango,Paddy rice,A,4944.69
Ruhango,Wheat,A,0.00
Ruhango,Other cereals,A,491.04
Ruhango,Cassava,A,20933.25
Ruhango,Sweet potato,A,6831.11
Ruhango,Irish potato,A,3360.31
Ruhango,Yams & Taro,A,3697.36
Ruhango,Bananas,A,8791.14
Ruhango,Cooking banana,A,9036.84
Ruhango,Dessert banana,A,6844.82
Ruhango,Banana for beer,A,9173.92
Ruhango,Bean,A,664.96
Ruhango,Bush bean,A,658.07
Ruhango,Climbing bean,A,683.20
Ruhango,Pea,A,724.24
Ruhango,Groundnuts,A,265.61
Ruhango,Soybean,A,443.64
Ruhango,vegetables,A,6227.32
Ruhango,Fruits,A,4353.44
Ruhango,Fodder crops,A,12039.98
Ruhango,Other crops,A,1151.41
Ruhango,Maize,B,1269.08
Ruhango,Sorghum,B,800.17
Ruhango,Paddy rice,B,3538.34
Ruhango,Wheat,B,0.00
Ruhango,Chia seeds,B,0.00
Ruhango,Other Cereals,B,774.22
Ruhango,Cassava,B,17518.94
Ruhango,Sweet potatoes,B,4146.20
Ruhango,Irish potatoes,B,2958.34
Ruhango,Yams & Taro,B,7297.01
Ruhango,Bananas,B,9040.42
Ruhango,Cooking Banana,B,17637.39
Ruhango,Dessert banana,B,12426.25
Ruhango,Banana for beer,B,7855.08
Ruhango,Beans,B,663.14
Ruhango,Bush bean,B,681.56
Ruhango,Climbing bean,B,629.06
Ruhango,Peas,B,1139.42
Ruhango,Ground nuts,B,548.48
Ruhango,Soya beans,B,677.05
Ruhango,Vegetables,B,8016.17
Ruhango,Fruits,B,6010.62
Ruhango,Fodder crops,B,6947.55
Ruhango,Other crops,B,10277.54
Ruhango,Tubers and Roots,C,7831.43
Ruhango,Sweet potatoes,C,7966.17
Ruhango,Irish potatoes,C,3975.30
Ruhango,Bean,C,1164.99
Ruhango,Bush bean,C,1159.13
Ruhango,Climbing bean,C,1998.77
Ruhango,Peas,C,648.46
Ruhango,Soya beans,C,799.58
Ruhango,Vegetables,C,12672.69
Rulindo,Maize,A,1442.82
Rulindo,Sorghum,A,0.00
Rulindo,Paddy rice,A,3856.57
Rulindo,Wheat,A,1265.17
Rulindo,Other cereals,A,106.77
Rulindo,Cassava,A,12206.73
Rulindo,Sweet potato,A,6641.22
Rulindo,Irish potato,A,4579.76
Rulindo,Yams & Taro,A,4644.33
Rulindo,Bananas,A,9787.84
Rulindo,Cooking banana,A,11216.66
Rulindo,Dessert banana,A,8771.69
