District,Crop,Season,Average yield
Gakenke,Soya beans,B,439.75
Gakenke,Vegetables,B,8632.26
Gakenke,Fruits,B,10594.60
Gakenke,Fodder crops,B,10692.45
Gakenke,Other crops,B,4894.19
Gakenke,Tubers and Roots,C,6563.88
Gakenke,Sweet potatoes,C,8558.07
Gakenke,Irish potatoes,C,5361.02
Gakenke,Bean,C,794.99
Gakenke,Bush bean,C,810.47
Gakenke,Climbing bean,C,0.00
Gakenke,Peas,C,0.00
Gakenke,Soya beans,C,732.76
Gakenke,Vegetables,C,11152.33
Gasabo,Maize,A,1198.79
Gasabo,Sorghum,A,0.00
Gasabo,Paddy rice,A,3481.20
Gasabo,Wheat,A,0.00
Gasabo,Other cereals,A,632.85
Gasabo,Cassava,A,10824.35
Gasabo,Sweet potato,A,7160.11
Gasabo,Irish potato,A,4118.84
Gasabo,Yams & Taro,A,4910.22
Gasabo,Bananas,A,11162.55
Gasabo,Cooking banana,A,12148.31
Gasabo,Dessert banana,A,9280.22
Gasabo,Banana for beer,A,10893.32
Gasabo,Bean,A,602.59
Gasabo,Bush bean,A,602.78
Gasabo,Climbing bean,A,599.37
Gasabo,Pea,A,673.75
Gasabo,Groundnuts,A,353.55
Gasabo,Soybean,A,398.20
Gasabo,vegetables,A,9352.25
Gasabo,Fruits,A,1509.62
Gasabo,Fodder crops,A,18750.43
Gasabo,Other crops,A,6939.91
Gasabo,Maize,B,1331.06
Gasabo,Sorghum,B,1042.93
Gasabo,Paddy rice,B,4719.83
Gasabo,Wheat,B,0.00
Gasabo,Chia seeds,B,0.00
Gasabo,Other Cereals,B,0.00
Gasabo,Cassava,B,13349.50
Gasabo,Sweet potatoes,B,5741.69
Gasabo,Irish potatoes,B,3228.77
Gasabo,Bananas,B,13268.60
Gasabo,Cooking Banana,B,17654.99
Gasabo,Dessert banana,B,14119.44
Gasabo,Banana for beer,B,9063.34
Gasabo,Beans,B,817.58
Gasabo,Bush bean,B,834.03
Gasabo,Climbing bean,B,637.50
Gasabo,Peas,B,541.91
Gasabo,Ground nuts,B,558.59
Gasabo,Soya beans,B,514.77
Gasabo,Vegetables,B,11118.53
Gasabo,Fruits,B,7712.14
Gasabo,Fodder crops,B,14311.58
Gasabo,Other crops,B,1864.96
Gasabo,Tubers and Roots,C,5429.47
Gasabo,Sweet potatoes,C,5093.31
Gasabo,Irish potatoes,C,7673.92
Gasabo,Bean,C,723.67
Gasabo,Bush bean,C,723.67
Gasabo,Climbing bean,C,0.00
Gasabo,Peas,C,0.00
Gasabo,Soya beans,C,0.00
Gasabo,Vegetables,C,11623.74
Gatsibo,Maize,A,1566.05
Gatsibo,Sorghum,A,897.10
Gatsibo,Paddy rice,A,3137.03
Gatsibo,Wheat,A,415.66
Gatsibo,Other cereals,A,708.48
Gatsibo,Cassava,A,13709.99
Gatsibo,Sweet potato,A,8190.86
Gatsibo,Irish potato,A,5201.90
Gatsibo,Yams & Taro,A,2918.41
Gatsibo,Bananas,A,11828.66
Gatsibo,Cooking banana,A,14466.52
Gatsibo,Dessert banana,A,7256.93
Gatsibo,Banana for beer,A,9368.36
Gatsibo,Bean,A,591.91
Gatsibo,Bush bean,A,599.17
Gatsibo,Climbing bean,A,509.82
Gatsibo,Pea,A,512.37
Gatsibo,Groundnuts,A,482.07
Gatsibo,Soybean,A,466.60
Gatsibo,vegetables,A,4533.28
Gatsibo,Fruits,A,6250.70
Gatsibo,Fodder crops,A,8511.66
Gatsibo,Other crops,A,1832.35
Gatsibo,Maize,B,1506.56
Gatsibo,Sorghum,B,1247.52
Gatsibo,Paddy rice,B,3532.96
Gatsibo,Wheat,B,0.00
Gatsibo,Chia seeds,B,856.43
Gatsibo,Other Cereals,B,528.49
Gatsibo,Cassava,B,16732.74
Gatsibo,Sweet potatoes,B,8938.44
Gatsibo,Irish potatoes,B,4324.14
Gatsibo,Yams & Taro,B,7789.23
Gatsibo,Bananas,B,13893.20
Gatsibo,Cooking Banana,B,17891.31
Gatsibo,Dessert banana,B,10828.32
Gatsibo,Banana for beer,B,10180.45
Gatsibo,Beans,B,643.62
Gatsibo,Bush bean,B,645.11
Gatsibo,Climbing bean,B,632.01
Gatsibo,Peas,B,576.96
Gatsibo,Ground nuts,B,618.62
Gatsibo,Soya beans,B,596.16
Gatsibo,Vegetables,B,10923.65
Gatsibo,Fruits,B,5649.91
Gatsibo,Fodder crops,B,11901.20
Gatsibo,Other crops,B,2162.58
Gatsibo,Tubers and Roots,C,7475.98
Gatsibo,Sweet potatoes,C,7542.97
Gatsibo,Irish potatoes,C,5759.37
Gatsibo,Bean,C,822.42
Gatsibo,Bush bean,C,822.42
Gatsibo,Climbing bean,C,0.00
Gatsibo,Peas,C,0.00
Gatsibo,Soya beans,C,0.00
Gatsibo,Vegetables,C,9184.72
Gicumbi,Maize,A,1346.58
Gicumbi,Sorghum,A,932.03
Gicumbi,Paddy rice,A,0.00
Gicumbi,Wheat,A,727.41
Gicumbi,Other cereals,A,471.31
Gicumbi,Cassava,A,12966.41
Gicumbi,Sweet potato,A,9396.40
Gicumbi,Irish potato,A,8891.89
Gicumbi,Yams & Taro,A,0.00
Gicumbi,Bananas,A,11043.93
Gicumbi,Cooking banana,A,13907.66
Gicumbi,Dessert banana,A,7454.01
Gicumbi,Banana for beer,A,9985.44
Gicumbi,Bean,A,804.97
Gicumbi,Bush bean,A,592.43
Gicumbi,Climbing bean,A,900.75
Gicumbi,Pea,A,644.25
Gicumbi,Groundnuts,A,466.69
Gicumbi,Soybean,A,726.90
Gicumbi,vegetables,A,8969.02
Gicumbi,Fruits,A,2263.93
Gicumbi,Fodder crops,A,19176.07
Gicumbi,Other crops,A,9957.12
Gicumbi,Maize,B,1012.41
Gicumbi,Sorghum,B,1157.04
Gicumbi,Paddy rice,B,0.00
Gicumbi,Wheat,B,970.77
Gicumbi,Chia seeds,B,540.80
Gicumbi,Other Cereals,B,0.00
Gicumbi,Cassava,B,15490.44
Gicumbi,Sweet potatoes,B,7182.62
Gicumbi,Irish potatoes,B,6344.17
Gicumbi,Yams & Taro,B,7886.00
Gicumbi,Bananas,B,12025.16
Gicumbi,Cooking Banana,B,19482.22
Gicumbi,Dessert banana,B,10415.98
Gicumbi,Banana for beer,B,9160.54
Gicumbi,Beans,B,1009.93
Gicumbi,Bush bean,B,671.45
Gicumbi,Climbing bean,B,1130.70
Gicumbi,Peas,B,830.60
Gicumbi,Ground nuts,B,527.52
Gicumbi,Soya beans,B,444.67
Gicumbi,Vegetables,B,12504.46
Gicumbi,Fruits,B,2618.49
Gicumbi,Fodder crops,B,13860.37
Gicumbi,Other crops,B,1887.93
Gicumbi,Tubers and Roots,C,6969.90
Gicumbi,Sweet potatoes,C,6011.81
Gicumbi,Irish potatoes,C,7185.82
Gicumbi,Bean,C,1106.47
Gicumbi,Bush bean,C,1106.47
Gicumbi,Climbing bean,C,0.00
Gicumbi,Peas,C,0.00
Gicumbi,Soya beans,C,0.00
Gicumbi,Vegetables,C,7655.62
Gisagara,Maize,A,2166.86
Gisagara,Sorghum,A,784.16
Gisagara,Paddy rice,A,4508.54
Gisagara,Wheat,A,0.00
Gisagara,Other cereals,A,667.11
Gisagara,Cassava,A,15948.33
Gisagara,Sweet potato,A,6182.28
Gisagara,Irish potato,A,2981.69
Gisagara,Yams & Taro,A,8728.67
Gisagara,Bananas,A,8088.43
Gisagara,Cooking banana,A,6845.90
Gisagara,Dessert banana,A,7548.24
Gisagara,Banana for beer,A,8878.69
Gisagara,Bean,A,564.08
Gisagara,Bush bean,A,558.28
Gisagara,Climbing bean,A,629.77
Gisagara,Pea,A,775.35
Gisagara,Groundnuts,A,429.31
Gisagara,Soybean,A,580.01
Gisagara,vegetables,A,4760.87
Gisagara,Fruits,A,15126.00
Gisagara,Fodder crops,A,23114.34
Gisagara,Other crops,A,1053.13
Gisagara,Maize,B,1099.37
Gisagara,Sorghum,B,895.60
Gisagara,Paddy rice,B,3991.92
Gisagara,Wheat,B,0.00
Gisagara,Chia seeds,B,0.00
Gisagara,Other Cereals,B,796.53
Gisagara,Cassava,B,17996.20
Gisagara,Sweet potatoes,B,5710.11
Gisagara,Irish potatoes,B,2046.59
Gisagara,Yams & Taro,B,3679.13
Gisagara,Bananas,B,11285.12
Gisagara,Cooking Banana,B,16987.40
Gisagara,Dessert banana,B,9925.14
Gisagara,Banana for beer,B,10108.39
Gisagara,Beans,B,674.03
Gisagara,Bush bean,B,657.58
Gisagara,Climbing bean,B,776.04
Gisagara,Peas,B,656.65
Gisagara,Ground nuts,B,381.80
Gisagara,Soya beans,B,489.41
Gisagara,Vegetables,B,8835.89
Gisagara,Fruits,B,28028.74
Gisagara,Fodder crops,B,4648.34
Gisagara,Other crops,B,1282.80
Gisagara,Tubers and Roots,C,4278.11
Gisagara,Sweet potatoes,C,4304.61
Gisagara,Irish potatoes,C,3038.02
Gisagara,Bean,C,765.33
Gisagara,Bush bean,C,777.20
Gisagara,Climbing bean,C,0.00
Gisagara,Peas,C,288.20
Gisagara,Soya beans,C,444.72
Gisagara,Vegetables,C,8144.52
Huye,Maize,A,1422.27
Huye,Sorghum,A,0.00
Huye,Paddy rice,A,4008.65
Huye,Wheat,A,0.00
Huye,Other cereals,A,719.32
Huye,Cassava,A,17794.24
Huye,Sweet potato,A,5812.68
Huye,Irish potato,A,3831.32
Huye,Yams & Taro,A,8231.91
