District,Season,Fertlizer apply,Agricultural area under fertirizer application
Nyamagabe,A,Organic fertilizers,24001.56
Nyamagabe,B,Organic fertilizers,21201.05
Nyamagabe,C,Organic fertilizers,353.5303
Nyamasheke,A,Inorganic Fertilizers,18541.61
Nyamasheke,B,Inorganic Fertilizers,13378.02
Nyamasheke,C,Inorganic Fertilizers,46.71944
Nyamasheke,A,Organic fertilizers,24571.19
Nyamasheke,B,Organic fertilizers,20662.87
Nyamasheke,C,Organic fertilizers,48.07143
Nyanza,A,Inorganic Fertilizers,7321.314
Nyanza,B,Inorganic Fertilizers,3989.406
Nyanza,C,Inorganic Fertilizers,209.7646
Nyanza,A,Organic fertilizers,23342.37
Nyanza,B,Organic fertilizers,18964.73
Nyanza,C,Organic fertilizers,554.3417
Nyarugenge,B,Inorganic Fertilizers,375.3369
Nyarugenge,C,Inorganic Fertilizers,232.3318
Nyarugenge,A,Organic fertilizers,2628.913
Nyarugenge,B,Organic fertilizers,2149.588
Nyarugenge,C,Organic fertilizers,118.0244
Nyarugunge,A,Inorganic Fertilizers,-
Nyaruguru,A,Inorganic Fertilizers,15447.11
Nyaruguru,B,Inorganic Fertilizers,10882.58
Nyaruguru,C,Inorganic Fertilizers,266.262
Nyaruguru,A,Organic fertilizers,23079.68
Nyaruguru,B,Organic fertilizers,17753.44
Nyaruguru,C,Organic fertilizers,716.8314
Rubavu,A,Inorganic Fertilizers,10558.49
Rubavu,B,Inorganic Fertilizers,9877.973
Rubavu,C,Inorganic Fertilizers,1111.784
Rubavu,A,Organic fertilizers,7929.395
Rubavu,B,Organic fertilizers,6290.628
Rubavu,C,Organic fertilizers,491.1019
Ruhango,A,Inorganic Fertilizers,5505.617
Ruhango,B,Inorganic Fertilizers,3593.246
Ruhango,C,Inorganic Fertilizers,82.13305
Ruhango,A,Organic fertilizers,22982.99
Ruhango,B,Organic fertilizers,19550.27
Ruhango,C,Organic fertilizers,212.6136
Rulindo,A,Inorganic Fertilizers,11542.61
Rulindo,B,Inorganic Fertilizers,9553.247
Rulindo,C,Inorganic Fertilizers,220.6701
Rulindo,A,Organic fertilizers,26523.79
Rulindo,B,Organic fertilizers,24070.19
Rulindo,C,Organic fertilizers,276.2434
Rusizi,A,Inorganic Fertilizers,19360.34
Rusizi,B,Inorganic Fertilizers,11257.8
Rusizi,C,Inorganic Fertilizers,206.1373
Rusizi,A,Organic fertilizers,22611.66
Rusizi,B,Organic fertilizers,14728.41
Rusizi,C,Organic fertilizers,210.9985
Rutsiro,A,Inorganic Fertilizers,11209.94
Rutsiro,B,Inorganic Fertilizers,8708.145
Rutsiro,C,Inorganic Fertilizers,50.1365
Rutsiro,A,Organic fertilizers,21708.42
Rutsiro,B,Organic fertilizers,15899.76
Rutsiro,C,Organic fertilizers,60.28897
Rwamagana,A,Inorganic Fertilizers,17701.64
Rwamagana,B,Inorganic Fertilizers,8703.012
Rwamagana,C,Inorganic Fertilizers,215.0654
Rwamagana,A,Organic fertilizers,29497.62
Rwamagana,B,Organic fertilizers,17762.15
Rwamagana,C,Organic fertilizers,100.3026
